SEM_EXM_EXCH_ID,SEM_SEGMENT,SEM_SMST_SECURITY_ID,SEM_INSTRUMENT_NAME,SEM_EXPIRY_CODE,SEM_TRADING_SYMBOL,SEM_LOT_UNITS,SEM_CUSTOM_SYMBOL,SEM_EXPIRY_DATE,SEM_STRIKE_PRICE,SEM_OPTION_TYPE,SEM_TICK_SIZE,SEM_EXPIRY_FLAG,SEM_EXCH_INSTRUMENT_TYPE,SEM_SERIES,SM_SYMBOL_NAME
NSE,D,35000,OPTIDX,0,BANKNIFTY-Sep2026-72600-CE,30.0,BANKNIFTY 29 SEP 72600 CALL,2026-09-29 14:30:00,72600.0,CE,5.0,M,OP,,
NSE,D,35001,OPTIDX,0,BANKNIFTY-Sep2026-72600-PE,30.0,BANKNIFTY 29 SEP 72600 PUT,2026-09-29 14:30:00,72600.0,PE,5.0,M,OP,,
NSE,D,35002,OPTIDX,0,BANKNIFTY-Sep2026-72700-CE,30.0,BANKNIFTY 29 SEP 72700 CALL,2026-09-29 14:30:00,72700.0,CE,5.0,M,OP,,
NSE,D,35003,OPTIDX,0,BANKNIFTY-Sep2026-72700-PE,30.0,BANKNIFTY 29 SEP 72700 PUT,2026-09-29 14:30:00,72700.0,PE,5.0,M,OP,,
NSE,D,35004,OPTIDX,0,BANKNIFTY-Sep2026-72800-CE,30.0,BANKNIFTY 29 SEP 72800 CALL,2026-09-29 14:30:00,72800.0,CE,5.0,M,OP,,
NSE,D,35005,OPTIDX,0,BANKNIFTY-Sep2026-72800-PE,30.0,BANKNIFTY 29 SEP 72800 PUT,2026-09-29 14:30:00,72800.0,PE,5.0,M,OP,,
NSE,D,35006,OPTIDX,0,BANKNIFTY-Sep2026-72900-CE,30.0,BANKNIFTY 29 SEP 72900 CALL,2026-09-29 14:30:00,72900.0,CE,5.0,M,OP,,
NSE,D,35007,OPTIDX,0,BANKNIFTY-Sep2026-72900-PE,30.0,BANKNIFTY 29 SEP 72900 PUT,2026-09-29 14:30:00,72900.0,PE,5.0,M,OP,,
NSE,D,35008,OPTIDX,0,BANKNIFTY-Sep2026-80500-CE,30.0,BANKNIFTY 29 SEP 80500 CALL,2026-09-29 14:30:00,80500.0,CE,5.0,M,OP,,
NSE,D,35009,OPTIDX,0,BANKNIFTY-Sep2026-80500-PE,30.0,BANKNIFTY 29 SEP 80500 PUT,2026-09-29 14:30:00,80500.0,PE,5.0,M,OP,,
NSE,D,35010,OPTIDX,0,BANKNIFTY-Sep2026-82500-CE,30.0,BANKNIFTY 29 SEP 82500 CALL,2026-09-29 14:30:00,82500.0,CE,5.0,M,OP,,
NSE,D,35011,OPTIDX,0,BANKNIFTY-Aug2026-39900-CE,30.0,BANKNIFTY 25 AUG 39900 CALL,2026-08-25 14:30:00,39900.0,CE,5.0,M,OP,,
NSE,D,35012,OPTIDX,0,BANKNIFTY-Aug2026-39900-PE,30.0,BANKNIFTY 25 AUG 39900 PUT,2026-08-25 14:30:00,39900.0,PE,5.0,M,OP,,
